"1","0","Главная страница","main","index","<p>Добро пожаловать в Ronny CMS!</p>","заглавная страница","главная страница page pages to4ka programming team","821","0","1309289076","1406013520"
            </td>
            <td width=""300"" valign=""top"">
            <div>Рассмотрение   полученных в разных формах обращений граждан и организаций по фактам   проявления коррупции, предание их гласности</div>
            </td>
            <td width=""132"" valign=""top"">
            <div align=""center"">В случае установления факта коррупции</div>
            </td>
            <td width=""132"" valign=""top"">
            <div>Отдел   правового и кадрового обеспечения</div>
            </td>
            <td width=""105"" valign=""top"">
            <div>&nbsp;</div>
            </td>
        </tr>
        <tr>
            <td width=""604"" colspan=""4"" valign=""top"">
            <div align=""center"">Раздел VII. Антикоррупционное образование</div>
            </td>
            <td width=""105"" valign=""top"">
            <div align=""center"">&nbsp;</div>
            </td>
        </tr>
        <tr>
            <td width=""39"" valign=""top"">
            <div align=""center"">17.</div>
            </td>
            <td width=""300"" valign=""top"">
            <div>Проведение   семинаров, обучающих мероприятий для государственных гражданских служащих управления,   руководителей подведомственных учреждений с целью доведения&nbsp; положений и изменений законодательства РФ и   Костромской области о противодействии коррупции, а также формирования   негативного отношения к коррупционным проявлениям (дача взятки, получение   подарка)</div>
            </td>
            <td width=""132"" valign=""top"">
            <div align=""center"">1 раз в квартал.</div>
            <div align=""center"">Отчет до 1 марта 2015 года</div>
            </td>
            <td width=""132"" valign=""top"">
            <div>Отдел   правового и кадрового обеспечения</div>
            </td>
            <td width=""105"" valign=""top"">
            <div>&nbsp;</div>
            </td>
        </tr>
        <tr>
            <td width=""39"" valign=""top"">
            <div align=""center"">18.</div>
            </td>
            <td width=""300"" valign=""top"">
            <div>Повышение   квалификации гос.служащих управления, в должностные обязанности которого   входит участие в противодействии коррупции</div>
            </td>
            <td width=""132"" valign=""top"">
            <div align=""center"">в течение&nbsp;   года</div>
            </td>
            <td width=""132"" valign=""top"">
            <div>Отдел   правового и кадрового обеспечения</div>
            </td>
            <td width=""105"" valign=""top"">
            <div>&nbsp;</div>
            </td>
        </tr>
    </tbody>
</table>
</div>
<p>&nbsp;</p>
<div>&nbsp;</div>
<p align=""center""><br />
&nbsp;</p>",,"Управление по защите населения от чрезвычайных ситуаций на территории Костромской области","5948","70","1310204105","1409869163"
"17","2","Сведения о доходах","svedenia-o-dohodah","default","
<p align=""left""><b>За 2013 год</b></p>
<p>Сведения о доходах, расходах,&nbsp;об имуществе и обязательствах имущественного характера&nbsp;государственных гражданских служащих, замещающих&nbsp; должности государственной гражданской службы в&nbsp;Управлении по защите населения и территорий Костромской области,&nbsp;за период с 1 января 2013 г. по 31 декабря 2013 г. <a href=""/files/docs/otchety/dohody13.doc"">Скачать в формате doc.</a></p>
<p align=""left"">Сведения о доходах, расходах, имуществе и обязательствах имущественного характера руководителей областных государственных учреждений, подведомственных&nbsp;Управлению по защите населения и территорий Костромской области, за период с 1 января по 31 декабря 2013 года. <a href=""/files/docs/otchety/dohody13podved.doc"">Скачать в формате doc.</a></p>
<p align=""left"">&nbsp;</p>
<p align=""left""><b>За 2012 год</b></p>
<p align=""left"">Сведения
о доходах, имуществе и обязательствах имущественного характера государственных
гражданских служащих, замещающих&nbsp;
должности государственной гражданской службы в Управлении по защите
населения от чрезвычайных ситуаций, включенные в Перечень должностей
исполнительных органов государственной власти Костромской области, при
назначении на которые граждане и при замещении которых государственные служащие
обязаны представлять сведения о своих доходах, об имуществе и обязательствах
имущественного характера своих супруги (супруга) и несовершеннолетних детей,
утвержденный постановлением администрации Костромской области от 04.10.2012 №
401-а за
период с 1 января по 31 декабря 2012 года. <a href=""/files/docs/dohody2012.docx"">Скачать полную версию в формате docx.</a></p>
<p align=""left"">Сведения о доходах, расходах, имуществе и обязательствах имущественного характера руководителей областных государственных учреждений, подведомственных Управлению по защите населения от чрезвычайных ситуаций на территории Костромской области, за период с 1 января по 31 декабря 2012 года.&nbsp;<a href=""/files/docs/deyatelnost/%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%20%D0%B4%D0%BE%D1%85%D0%BE%D0%B4%D0%B0%D1%85%20%D0%BF%D0%BE%D0%B4%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D1%85%202013.docx"">Скачать полную версию в формате docx</a>.</p>",,"Департамент региональной безопаности Костромской области","6074","80","1310204140","1400178116"
"19","4","Пожарная безопасность","pozharnaya-bezopasnost","default","
<p>&nbsp;</p><center><b>&nbsp;</b></center><span style=""font-size: small;""><center><b>Функции</b></center><center><b>Управления по защите населения и территорий&nbsp;Костромской области</b></center><center><b>в сфере пожарной безопасности</b></center></span><center><b>&nbsp;</b></center><b><br /></b><center> 
  <p style=""text-align: left;"">В соответствии с положением об&nbsp;Управлении по защите населения и территорий Костромской области, утверждённым постановлением губернатора Костромской области от 31 мая 2012 года № 116, и в соответствии с установленными полномочиями Управление осуществляет следующие функции&nbsp;в сфере пожарной безопасности на территории Костромской области:</p> 
  <ul type=""disc""> 
    <li style=""text-align: left;"">исполняет функции организационно-технического обеспечения деятельности комиссии по предупреждению и ликвидации последствий чрезвычайных ситуаций, обеспечению пожарной безопасности Костромской области;</li> 
    <li style=""text-align: left;"">координирует деятельность органов управления ГОЧС, исполнительных органов государственной власти, органов местного самоуправления и организаций Костромской области по вопросам защиты населения от природных, техногенных и бытовых пожаров во взаимодействии с Главным управлением МЧС России по Костромской области;</li> 
    <li style=""text-align: left;"">проводит мониторинг действующего законодательства и практики его применения по вопросам защиты населения и&nbsp;территории Костромской области от&nbsp;пожаров&nbsp;природного и техногенного характера;</li> 
    <li style=""text-align: left;"">разрабатывает и реализует меры в сфере&nbsp;пожарной безопасности на территории Костромской области;</li> 
    <li style=""text-align: left;"">контролирует совместно с территориальными органами федеральных органов власти в Костромской области, исполнительными органами государственной власти Костромской области, органами местного самоуправления муниципальных образований Костромской области организациями и учреждениями Костромской области выполнение требований нормативных правовых актов и иных документов по вопросам&nbsp;защиты населения и&nbsp;территории Костромской области от&nbsp;пожаров&nbsp;природного и техногенного характера;</li> 
    <li style=""text-align: left;"">разрабатывает для исполнительных органов государственной власти Костромской области, руководителей органов местного самоуправления и населения организационно-методические указания по подготовке органов управления, сил и средств территориальной подсистемы&nbsp;единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций в области пожарной безопасности;</li> 
    <li style=""text-align: left;"">исполняет функции учредителя&nbsp;противопожарных
служб, содержащихся за счёт средств бюджета Костромской области,&nbsp;вносит предложения
по их созданию, реорганизации и ликвидации;</li> 
    <li style=""text-align: left;"">принимает участие в разработке мер правовой и социальной защиты личного состава противопожарных служб, находящихся в ведении исполнительных органов государственной власти Костромской области, и членов их семей;</li> 
    <li style=""text-align: left;"">проводит учения и тренировки с органами управления, силами и средствами&nbsp;территориальной подсистемы&nbsp;единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций по вопросам пожарной безопасности;</li> 
    <li style=""text-align: left;"">ведёт учёт добровольных пожарных объединений граждан на территории Костромской области, а также организаций создающих добровольные пожарные формирования.</li> 
  </ul></center> 
<p>&nbsp;</p>",,"Управление по защите населения от чрезвычайных ситуаций на территории Костромской области","13419","20","1310204851","1397471009"
"20","4","Гражданская оборона","grajdan-oborona","default","<center><b>Функции</b></center><center><b>Управления по защите населения и территорий Костромской области по гражданской обороне</b></center><br /> 
<p style=""text-align: justify;"">В соответствии с положением об&nbsp;<span style=""text-align: -webkit-center;"">Управлении по защите населения и территорий Костромской области</span>, утвержденным постановлением губернатора Костромской области от 31 мая 2012 года № 116 в соответствии с установленными полномочиями Управление осуществляет следующие функции по гражданской обороне:</p> 
<ul type=""disc""> 
  <li style=""text-align: justify;"">проводит мониторинг действующего законодательства и практики его применения по вопросам гражданской обороны;</li> 
  <li style=""text-align: justify;"">разрабатывает и реализует меры в сфере гражданской обороны;</li> 
  <li>организует работу по поддержанию в состоянии постоянной готовности пунктов управления гражданской обороны;</li> 
  <li style=""text-align: justify;"">контролирует совместно с территориальными органами федеральных органов власти в Костромской области, исполнительными органами государственной власти Костромской области, органами местного самоуправления муниципальных образований Костромской области организациями и учреждениями Костромской области выполнение требований нормативных правовых актов и иных документов по вопросам гражданской обороны;</li> 
  <li style=""text-align: justify;"">разрабатывает для исполнительных органов государственной власти Костромской области, руководителей органов местного самоуправления и населения организационно-методических указаний по подготовке органов управления и сил гражданской обороны;</li> 
  <li style=""text-align: justify;"">исполняет функции организатора по созданию и содержанию в целях гражданской обороны резервов запасов материально-технических, продовольственных, медицинских и иных средств;</li> 
  <li style=""text-align: justify;"">проводит учения и тренировки с органами управления и силами гражданской обороны;</li> 
  <li style=""text-align: justify;"">ведёт учет защитных сооружений, иных объектов гражданской обороны, средств индивидуальной защиты, а также организаций создающих нештатные аварийно- спасательные формирования;</li> 
  <li style=""text-align: justify;"">контролирует создание, подготовку, оснащение и применение нештатных аварийно-спасательных формировании по предназначению;</li> 
</ul><br /><center><b>Об эвакуационной комиссии Костромской области</b></center><br /> 
<div style=""text-align: justify;"">Информация подготовлена на основании Положения об эвакуационной комиссии Костромской области, утвержденного постановлением суженного заседания администрации Костромской области.
</div> 
<ul type=""1""> 
  <li style=""text-align: justify;"">Эвакуационная комиссия Костромской области (далее - Комиссия) является нештатным постоянно действующим органом управления гражданской обороны Костромской области. Она создаётся постановлением суженного заседания администрации области заблаговременно в мирное время для непосредственной организации планирования, обеспечения и проведения эвакуации населения, материальных и культурных ценностей на территории области, обусловленной возможным применением противником современных средств поражения, авариями, катастрофами, стихийными бедствиями и координации деятельности органов государственной власти области по вопросам эвакуации. </li> 
  <li style=""text-align: justify;"">Общее руководство деятельностью Комиссии осуществляет губернатор области. Непосредственное руководство Комиссией возлагается на председателя Комиссии.</li> 
  <li style=""text-align: justify;"">В состав Комиссии области назначаются лица из числа руководящего состава территориальных органов федеральных органов исполнительной власти, исполнительных органов государственной власти Костромской области, работники органов, осуществляющих управление гражданской обороной, мобилизационных и транспортных органов, органов образования, здравоохранения, социального обеспечения, органов внутренних дел, связи, других органов и представитель областного военного комиссариата, кроме граждан, подлежащих призыву на военную службу по мобилизации.</li> 
  <li style=""text-align: justify;"">Комиссия в практической деятельности руководствуется Федеральным законом от 12 февраля 1998 года № 28-ФЗ &laquo;О гражданской обороне&raquo;, постановлением Правительства Российской Федерации от 22 июня 2004 г. № 303 &laquo;О порядке эвакуации населения, материальных и культурных ценностей в безопасные районы&raquo;, Руководством по организации планирования, обеспечения и проведения эвакуации населения в военное время, утверждённого Министром МЧС России 31 декабря 1996 года, другими нормативными правовыми актами Российской Федерации и Костромской области.</li> 
  <li>Комиссия имеет право: 
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    <ul type=""disc""> 
      <li style=""text-align: justify;"">принимать в пределах своей компетенции решения и участвовать в рассмотрении исполнительными органами государственной власти области вопросов, влияющих на выполнение мероприятий плана эвакуации населения области;</li> 
      <li style=""text-align: justify;"">принимать участие в работе по контролю эвакуационных органов, департаментов, комитетов, управлений и служб области и заслушивать их руководителей по вопросам планирования и выполнения эвакуационных мероприятий на территории области;</li> 
      <li style=""text-align: justify;"">осуществлять контроль за подготовкой и готовностью сборных эвакуационных пунктов, пунктов посадки (высадки), приемных эвакуационных пунктов, а также личного состава администраций указанных эвакуационных органов к выполнению задач по предназначению;</li> 
      <li style=""text-align: justify;"">запрашивать и получать от исполнительных органов государственной власти области и органов местного самоуправления городов и районов области данные, необходимые для выполнения возложенных на Комиссию задач;</li> 
      <li style=""text-align: justify;"">привлекать специалистов департаментов, управлений и комитетов области для проведения экспертизы наиболее важных разделов плана эвакуации населения.</li> 
    </ul></li> 
  <li style=""text-align: justify;"">Финансирование деятельности Комиссии и других мероприятий по планированию и подготовке к проведению эвакомероприятий осуществляется в соответствии со статьёй 18 Федерального закона &laquo;О гражданской обороне&raquo;.</li> 
  <li style=""text-align: justify;"">Председатель Комиссии назначается постановлением губернатора области из числа своих заместителей и является его заместителем по эвакуационным вопросам. Персональный состав Комиссии утверждается постановлением губернатора или суженного заседания администрации области по представлению председателя Комиссии.</li> 
  <li style=""text-align: justify;"">Комиссия проводит свою работу в соответствии с утверждённым губернатором области планом. Решения, принимаемые Комиссией, обязательны для исполнения исполнительными органами государственной власти и органами местного самоуправления области, эвакуационными органами, руководителями предприятий и организаций, независимо от форм собственности, всем населением области, а также гражданами, прибывающими по эвакуации из других городов и областей России.</li> 
</ul> 
<p style=""text-align: center;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <b>О комиссии по повышению устойчивости&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </b></p> 
<p style=""text-align: center;""><b>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;функционирования&nbsp;экономики</b><b>&nbsp;Костромской области</b><b>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </b></p> 
<p align=""justify"">Информация подготовлена на основании Положения о комиссии по повышению устойчивости функционирования экономики Костромской области, утвержденного постановлением суженного заседания администрации Костромской области. </p> 
<p align=""justify"">1. Комиссия по повышению устойчивости функционирования экономики Костромской области (далее - комиссия) является нештатным постоянно действующим организующим, консультативным и исследовательским органом управления в системе гражданской обороны и территориальной подсистемы РСЧС Костромской области. Она создаётся постановлением суженного заседания &nbsp;администрации области заблаговременно в мирное время в целях организации планирования и контроля выполнения мероприятий по повышению устойчивости функционирования организаций, предприятий и учреждений и в целом экономики области в военное время и в чрезвычайных ситуациях природного и техногенного характера (далее &ndash; чрезвычайные ситуации).</p> 
<p align=""justify"">2. Общее руководство деятельностью комиссии осуществляет губернатор области. Непосредственное руководство Комиссией возлагается на председателя комиссии.</p> 
<p align=""justify"">3. В состав комиссии области назначаются лица из числа руководящего состава территориальных органов федеральных органов исполнительной власти, исполнительных органов государственной власти Костромской области, работники органов, осуществляющих управление гражданской обороной, мобилизационных органов администрации области и соответствующих организаций. </p> 
<p align=""justify"">4. В своей деятельности комиссия руководствуется Федеральными &nbsp;законами от 21.12.1994 года № 68-ФЗ &laquo;О защите населения и территорий от чрезвычайных ситуаций природного и техногенного характера&raquo; и от 12 февраля 1998 года № 28-ФЗ &laquo;О гражданской обороне&raquo;, постановлениями и распоряжениями губернатора Костромской области, другими нормативными документами по подготовке организаций к устойчивому функционированию в чрезвычайных ситуациях и положением о комиссии.</p> 
<p align=""justify"">5. Комиссия имеет право:</p> 
<p align=""justify"">- давать заключения на представляемые органами и структурными подразделениями администрации области, исполнительными органами государственной власти области мероприятия по устойчивости функционирования организаций для включения в комплексные целевые программы развития отраслей экономики области;</p> 
<p align=""justify"">- запрашивать от органов и структурных подразделений администрации области, исполнительных органов государственной власти области и органов местного самоуправления области, организаций сведения, необходимые для выполнения возложенных на комиссию задач;</p> 
<p align=""justify"">- привлекать к участию в рассмотрении вопросов устойчивости функционирования экономики специалистов администрации области и на договорной основе специалистов научно-исследовательских и других учреждений;</p> 
<p align=""justify"">- заслушивать должностных лиц организаций области по вопросам устойчивости их функционирования, проводить в установленном порядке совещания с представителями этих организаций.</p> 
<p align=""justify"">6. Председатель комиссии назначается постановлением суженного заседания администрации области из числа заместителей губернатора области.</p> 
<p align=""justify"">Персональный состав комиссии утверждается постановлением суженного заседания администрации области по представлению председателя комиссии.</p> 
<p align=""justify"">7. Комиссия проводит свою работу в соответствии с утверждённым губернатором области планом.</p> 
<p align=""justify"">Решения, принимаемые Комиссией, обязательны для исполнения исполнительными органами государственной власти и органами местного самоуправления области, руководителями предприятий и организаций, независимо от форм собственности.</p> 
<p align=""justify"">Состав комиссии по повышению устойчивости функционирования экономики Костромской области утвержден постановлением суженного заседания администрации области от 20 декабря 2010 года № 20дсп.</p> 
<p align=""justify""><br /></p> 
<p align=""center"" style=""text-align: left;""><strong>Материалы по планированию мероприятий&nbsp; ГОЧС Костромской области на 2011-2013 год</strong>&nbsp;<b>и другая полезная информация:</b></p> 
<ul> 
  <li><a href=""/files/docs/deyatelnost/ucheb-metod-centr.doc"">Учебно-методический центр по гражданской обороне и чрезвычайным ситуациям Костромской области</a></li> 
  <li><a href=""/files/docs/deyatelnost/zashitnie-sooruj-nov-2011.doc"">Защитные сооружения гражданской обороны</a> </li> 
  <li><a href=""/files/docs/deyatelnost/go-2-11-2011.doc"">План гражданской обороны и защиты населения</a></li> 
  <li><a href=""/files/docs/deyatelnost/osnovy-go-2020.doc"">Основы единой государственной политики Российской Федерации в области гражданской обороны на период до 2020 года</a></li> 
  <li><a href=""/files/docs/deyatelnost/%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%20%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D1%8F,%20%D1%84%D1%83%D1%80%D0%B0%D0%B6%D0%B0%20%D0%B8%20%D0%B2%D0%BE%D0%B4%D1%8B%20%D0%BE%D1%82%20%D0%B7%D0%B0%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%D0%B0%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D1%8B%D0%BC%D0%B8,%20%D0%BE%D1%82%D1%80%D0%B0%D0%B2%D0%BB%D1%8F%D1%8E%D1%89%D0%B8%D0%BC%D0%B8%20%D0%B2%D0%B5%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B0%D0%BC%D0%B8%20%D0%B8%20%D0%B1%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0%D0%BC%D0%B8.doc"">Защита продуктов питания, фуража и воды от заражения радиоактивными, отравляющими веществами и бактериальными средствами</a></li> 
  <li><a href=""/files/docs/deyatelnost/zashita-doma-ot-opasnih-veshestv.doc"">Повышение защитных свойств дома (квартиры) от проникновения радиоактивных, отравляющих и аварийно химически опасных веществ</a></li> 
  <li><a href=""/files/docs/deyatelnost/sredstva-ind-med-zashity.doc"">Медицинские средства индивидуальной защиты</a></li> 
  <li><a href=""/files/docs/deyatelnost/grajd-obotona-izol-dyhat-app-10.08.2011.doc"">Изолирующие дыхательные аппараты ИДА</a></li> 
  <li><a href=""/files/docs/deyatelnost/sredstva-ind-zashity.doc"">Средства индивидуальной защиты</a></li> 
  <li><a href=""/pages/main/activities/grajdan-oborona/zashita-koji.html"">Средства индивидуальной защиты кожи</a></li> 
  <li><a href=""/files/docs/deyatelnost/med-sredstva-ind-zashity.doc"">Медицинские средства индивидуальной защиты</a></li> 
  <li><a href=""/files/docs/ukazanya.doc"">ОМУ 2011-2013</a></li> 
  <li><a href=""/files/docs/1261723674_rekomendacii%20po%20planirovaniu.doc"">Рекомендации по планированию</a></li> 
  <li><a href=""/files/docs/old-site-root/signal-go-19.05.2011.doc"">Действия населения при ЧС по сигналам ГО</a></li> 
  <li><a href=""/files/docs/old-site-root/pravila-go.doc"">Правила пользования убежищами в мирное время</a></li> 
  <li><a href=""/files/docs/deyatelnost/%D0%9E%D0%B1%D1%80%D0%B0%D0%B7%D0%B5%D1%86%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B0%20%D0%BE%20%D0%BF%D1%80%D0%B8%D0%BD%D1%8F%D1%82%D0%B8%D0%B8%20%D0%BD%D0%B0%20%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%85%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%20%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BC%D1%83%D0%BD%D0%B8%D1%86%D0%B8%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9.doc"">Образец договора о принятии на ответственное хранение средств оповещения населения муниципальных образований</a> (.doc)</li> 
</ul> 
<div><b><br /></b> 
</div> 
<div><b>Форма одежды МЧС:</b> 
</div> 
<div> 
  <ul> 
    <li><a href=""/files/docs/deyatelnost/price-list-formy-odejdi-mcs.doc""> 
        <div style=""display: inline !important;"">Прайс-лист приобретения формы одежды МЧС России
        
        
        
        
        
        
        
        
        
        
        
        </div></a></li> 
    <li><a href=""/files/docs/deyatelnost/foto-formi-odejdi-mcs.doc"">Фотографии формы одежды МЧС России</a></li> 
    <li><a href=""/files/docs/deyatelnost/opisanie-formi-odejdi-mcs.doc"">Описание формы одежды МЧС России</a></li> 
  </ul> 
</div><a href=""/files/docs/deyatelnost/price-list-formy-odejdi-mcs.doc""> 
  <div></div></a> ",,"Управление по защите населения на территории Костромской области","7396","20","1310204905","1395660972"
"21","4","Предотвращение и ликвидация ЧС","predotvr-i-likvidaciya-cs","default","<center><b>Функции</b></center><center><b>Управления по защите населения и&nbsp;</b><b style=""font-size: 9pt;"">территорий Костромской области</b></center><center><b>в составе единой государственной системы</b></center><center><b>предупреждения и ликвидации чрезвычайных ситуаций</b></center><center><b><br /></b></center><center> 
  <p style=""text-align: justify;"">В соответствии с положением об&nbsp;Управлении по защите населения и территорий Костромской области, утверждённым постановлением губернатора Костромской области от 31 мая 2012 года № 116, и в соответствии с установленными полномочиями Управление осуществляет следующие функции по&nbsp;предупреждению и ликвидации чрезвычайных ситуаций:</p> 
  <ul type=""disc""> 
    <li style=""text-align: justify;"">исполняет функции организационно-технического обеспечения деятельности комиссии по предупреждению и ликвидации последствий чрезвычайных ситуаций, обеспечения пожарной безопасности Костромской области;</li> 
    <li style=""text-align: justify;"">координирует деятельность органов управления ГОЧС, исполнительных органов государственной власти, органов местного самоуправления и организаций Костромской области по вопросам защиты населения от чрезвычайных ситуаций во взаимодействии с Главным управлением МЧС России по Костромской области;</li> 
    <li style=""text-align: justify;"">проводит мониторинг действующего законодательства и практики его применения по вопросам защиты населения и территорий от&nbsp;чрезвычайных ситуаций природного и техногенного характера;</li> 
    <li style=""text-align: justify;"">разрабатывает и реализует меры в сфере&nbsp;защиты населения и территорий от&nbsp;чрезвычайных ситуаций природного и техногенного характера;</li> 
    <li style=""text-align: justify;"">организует работу по поддержанию в состоянии постоянной готовности подвижного пункта управления губернатора Костромской области;</li> 
    <li style=""text-align: justify;"">контролирует совместно с территориальными органами федеральных органов власти в Костромской области, исполнительными органами государственной власти Костромской области, органами местного самоуправления муниципальных образований Костромской области организациями и учреждениями Костромской области выполнение требований нормативных правовых актов и иных документов по вопросам&nbsp;защиты населения и территорий от&nbsp;чрезвычайных ситуаций природного и техногенного характера;</li> 
    <li style=""text-align: justify;"">разрабатывает для исполнительных органов государственной власти Костромской области, руководителей органов местного самоуправления и населения организационно-методические указания по подготовке органов управления, сил и средств территориальной подсистемы&nbsp;единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций;</li> 
    <li style=""text-align: justify;"">выступает организатором по сбору,
